state,state_code,district,district_key,census_state_code,census_district_code
Uttar Pradesh,9,Fatehpur,fatehpur,9,41
Uttar Pradesh,9,Firozabad,firozabad,9,16
Uttar Pradesh,9,Gautam Buddha Nagar,gautam buddha nagar,9,10
Uttar Pradesh,9,Ghaziabad,ghaziabad,9,9
Uttar Pradesh,9,Ghazipur,ghazipur,9,64
Uttar Pradesh,9,Gonda,gonda,9,52
Uttar Pradesh,9,Gorakhpur,gorakhpur,9,57
Uttar Pradesh,9,Hamirpur,hamirpur,9,37
Uttar Pradesh,9,Hardoi,hardoi,9,24
Uttar Pradesh,9,Jalaun,jalaun,9,34
Uttar Pradesh,9,Jaunpur,jaunpur,9,63
Uttar Pradesh,9,Jhansi,jhansi,9,35
Uttar Pradesh,9,Jyotiba Phule Nagar,jyotiba phule nagar,9,6
Uttar Pradesh,9,Kannauj,kannauj,9,29
Uttar Pradesh,9,Kanpur Dehat,kanpur dehat,9,32
Uttar Pradesh,9,Kanpur Nagar,kanpur nagar,9,33
Uttar Pradesh,9,Kanshiram Nagar,kanshiram nagar,9,71
Uttar Pradesh,9,Kaushambi,kaushambi,9,43
Uttar Pradesh,9,Kheri,kheri,9,22
Uttar Pradesh,9,Kushinagar,kushinagar,9,58
Uttar Pradesh,9,Lalitpur,lalitpur,9,36
Uttar Pradesh,9,Lucknow,lucknow,9,26
Uttar Pradesh,9,Mahamaya Nagar,mahamaya nagar,9,13
Uttar Pradesh,9,Mahoba,mahoba,9,38
Uttar Pradesh,9,Mahrajganj,mahrajganj,9,56
Uttar Pradesh,9,Mainpuri,mainpuri,9,17
Uttar Pradesh,9,Mathura,mathura,9,14
Uttar Pradesh,9,Mau,mau,9,61
Uttar Pradesh,9,Meerut,meerut,9,7
Uttar Pradesh,9,Mirzapur,mirzapur,9,68
Uttar Pradesh,9,Moradabad,moradabad,9,4
Uttar Pradesh,9,Muzaffarnagar,muzaffarnagar,9,2
Uttar Pradesh,9,Pilibhit,pilibhit,9,20
Uttar Pradesh,9,Pratapgarh,pratapgarh,9,42
Uttar Pradesh,9,Rae Bareli,rae bareli,9,27
Uttar Pradesh,9,Rampur,rampur,9,5
Uttar Pradesh,9,Saharanpur,saharanpur,9,1
Uttar Pradesh,9,Sant Kabir Nagar,sant kabir nagar,9,55
Uttar Pradesh,9,Sant Ravi Das Nagar(Bhadohi),sant ravi das nagar,9,67
Uttar Pradesh,9,Shahjahanpur,shahjahanpur,9,21
Uttar Pradesh,9,Shrawasti,shrawasti,9,50
Uttar Pradesh,9,Siddharthnagar,siddharthnagar,9,53
Uttar Pradesh,9,Sitapur,sitapur,9,23
Uttar Pradesh,9,Sonbhadra,sonbhadra,9,69
Uttar Pradesh,9,Sultanpur,sultanpur,9,48
Uttar Pradesh,9,Unnao,unnao,9,25
Uttar Pradesh,9,Varanasi,varanasi,9,66
Uttarakhand,5,Almora,almora,5,9
Uttarakhand,5,Bageshwar,bageshwar,5,8
Uttarakhand,5,Chamoli,chamoli,5,2
Uttarakhand,5,Champawat,champawat,5,10
Uttarakhand,5,Dehradun,dehradun,5,5
Uttarakhand,5,Garhwal,garhwal,5,6
Uttarakhand,5,Hardwar,hardwar,5,13
Uttarakhand,5,Nainital,nainital,5,11
Uttarakhand,5,Pithoragarh,pithoragarh,5,7
Uttarakhand,5,Rudraprayag,rudraprayag,5,3
Uttarakhand,5,Tehri Garhwal,tehri garhwal,5,4
Uttarakhand,5,Udham Singh Nagar,udham singh nagar,5,12
Uttarakhand,5,Uttarkashi,uttarkashi,5,1
West Bengal,19,Bankura,bankura,19,13
West Bengal,19,Barddhaman,barddhaman,19,9
West Bengal,19,Birbhum,birbhum,19,8
West Bengal,19,Dakshin Dinajpur,dakshin dinajpur,19,5
West Bengal,19,Darjiling,darjiling,19,1
West Bengal,19,Haora,haora,19,15
West Bengal,19,Hugli,hugli,19,12
West Bengal,19,Jalpaiguri,jalpaiguri,19,2
West Bengal,19,Koch Bihar,koch bihar,19,3
West Bengal,19,Kolkata,kolkata,19,16
West Bengal,19,Maldah,maldah,19,6
West Bengal,19,Murshidabad,murshidabad,19,7
West Bengal,19,Nadia,nadia,19,10
West Bengal,19,North 24 Parganas,north 24 parganas,19,11
West Bengal,19,Paschim Medinipur,paschim medinipur,19,18
West Bengal,19,Purba Medinipur,purba medinipur,19,19
West Bengal,19,Puruliya,puruliya,19,14
West Bengal,19,South 24 Parganas,south 24 parganas,19,17
West Bengal,19,Uttar Dinajpur,uttar dinajpur,19,4
